Date,Stock,Open,High,Low,Close
2021-05-10,EBAY,59.560001,62.299999,59.259998,61.439999
2021-05-11,EBAY,60.040001,60.990002,59.139999,60.43
2021-05-12,EBAY,59.689999,60.43,58.240002,58.279999
2021-05-13,EBAY,58.59,59.369999,58.060001,59.56999999999999
2021-05-14,EBAY,59.439999,61.049999,59.299999,60.860001
2021-05-17,EBAY,60.810001,61.799999,60.540001,61.689999
2021-05-18,EBAY,61.700001,62.689999,60.689999,61.290001
2021-05-19,EBAY,60.400002,60.400002,59.07,59.790001
2021-05-20,EBAY,60.110001,60.27,59.349998,59.470001
2021-05-21,EBAY,59.810001,61.380001,59.720001,61.02
2021-05-24,EBAY,61.240002,61.950001,60.93,60.970001
2021-05-25,EBAY,61.2150005,62.045,61.0599995,61.205
2021-05-26,EBAY,61.189999,62.139999,61.189999,61.439999
2021-05-27,EBAY,61.200001,62.119999,59.32,59.509998
2021-05-28,EBAY,59.959999,61.419998,59.66,60.880001
2021-06-01,EBAY,61.52,62.09,60.73,61.369999
2021-06-02,EBAY,61.389999,63.57,61.02,63.41
2021-06-03,EBAY,62.98,64.269997,62.59,64.07
2021-06-04,EBAY,64.379997,65.889999,64.139999,65.230003
2021-06-07,EBAY,65.309998,65.720001,64.790001,65.449997
2021-06-08,EBAY,65.519997,65.940002,65.260002,65.70499799999999
2021-06-09,EBAY,66.220001,66.349998,65.400002,65.959999
2021-06-10,EBAY,66.32,66.980003,65.769997,66.75
2021-06-11,EBAY,66.900002,67.419998,66.830002,67.129997
2021-06-14,EBAY,67.25,67.260002,65.169998,65.889999
2021-06-15,EBAY,66.345001,66.805,65.23500050000001,65.9899975
2021-06-16,EBAY,65.440002,66.349998,65.300003,66.089996
2021-06-17,EBAY,65.669998,66.300003,65.25,65.330002
2021-06-18,EBAY,64.5249995,65.635002,64.3050005,64.865002
2021-06-21,EBAY,63.380001,64.970001,63.360001,64.400002
2021-06-22,EBAY,64.279999,65.129997,63.41,64.889999
2021-06-23,EBAY,65.019997,65.93,64.889999,65.300003
2021-06-24,EBAY,65.410004,66.75,65.139999,66.57
2021-06-25,EBAY,66.75,68.190002,66.75,67.900002
2021-06-28,EBAY,68.260002,68.970001,67.57,68.82
2021-06-29,EBAY,69.0,70.639999,68.849998,70.489998
2021-06-30,EBAY,70.230003,70.660004,69.690002,70.209999
2021-07-01,EBAY,70.209999,70.769997,69.029999,69.800003
2021-07-02,EBAY,69.989998,70.309998,69.360001,70.080002
2021-07-06,EBAY,70.150002,70.150002,68.889999,69.019997
2021-07-07,EBAY,69.160004,70.519997,68.989998,70.07
